id,rainfall
2190,0.99
2191,0.98
2192,0.88
2193,0.1
2194,0.07
2195,0.93
2196,0.91
2197,0.97
2198,0.98
2199,0.96
2200,1.0
2201,0.01
2202,0.99
2203,0.96
2204,0.3
2205,0.07
2206,0.88
2207,0.83
2208,0.04
2209,0.03
2210,0.05
2211,0.12
2212,0.74
2213,1.0
2214,0.84
2215,0.54
2216,0.17
2217,1.0
2218,0.93
2219,0.46
2220,0.99
2221,0.97
2222,0.87
2223,0.98
2224,0.89
2225,0.97
2226,0.29
2227,0.99
2228,0.89
2229,0.99
2230,0.94
2231,0.91
2232,0.04
2233,0.98
2234,0.98
2235,0.1
2236,0.14
2237,0.99
2238,0.07
2239,0.87
2240,0.9
2241,1.0
2242,0.98
2243,0.98
2244,0.99
2245,0.99
2246,0.96
2247,0.96
2248,0.97
2249,0.99
2250,0.95
2251,0.99
2252,0.98
2253,0.92
2254,0.19
2255,0.29
2256,0.01
2257,0.86
2258,0.94
2259,0.23
2260,1.0
2261,0.99
2262,0.98
2263,0.91
2264,0.99
2265,0.93
2266,0.93
2267,0.89
2268,0.33
2269,1.0
2270,0.92
2271,1.0
2272,0.36
2273,0.81
2274,0.94
2275,0.95
2276,0.97
2277,0.93
2278,0.98
2279,0.91
2280,0.98
2281,0.91
2282,0.94
2283,0.92
2284,0.98
2285,0.98
2286,0.97
2287,0.88
2288,0.84
2289,0.79
2290,0.97
2291,0.95
2292,0.76
2293,0.88
2294,0.97
2295,0.97
2296,0.95
2297,0.98
2298,1.0
2299,0.92
2300,0.92
2301,0.79
2302,0.94
2303,1.0
2304,1.0
2305,0.9
2306,0.92
2307,0.96
2308,0.97
2309,0.97
2310,0.63
2311,0.88
2312,0.9
2313,0.31
2314,0.93
2315,0.56
2316,0.96
2317,0.95
2318,0.97
2319,0.96
2320,0.98
2321,0.98
2322,0.91
2323,0.94
2324,0.93
2325,0.89
2326,0.99
2327,0.94
2328,1.0
2329,0.96
2330,0.96
2331,0.65
2332,0.14
2333,0.91
2334,0.96
2335,0.9
